country,0-14 years,15-64 years,65 years and over
Moldova,18.01,66.37,15.62
Monaco,9.4,54.42,36.18
Mongolia,26.16,68.24,5.6
Montenegro,17.93,64.65,17.42
Morocco,26.01,65.92,8.06
Mozambique,45.0,52.1,2.9
Namibia,34.38,61.68,3.94
Nauru,30.13,65.65,4.22
Nepal,26.32,67.52,6.16
Netherlands,16.06,63.08,20.86
New Zealand,19.15,64.36,16.49
Nicaragua,24.16,69.36,6.48
Niger,49.7,47.6,2.7
Nigeria,40.69,55.95,3.36
North Korea,20.24,69.16,10.6
North Macedonia,16.06,68.69,15.25
Norway,17.83,64.0,18.18
Oman,29.88,66.17,3.95
Pakistan,34.81,60.41,4.77
Palau,17.49,71.82,10.69
Panama,25.19,64.87,9.94
Papua New Guinea,37.34,58.75,3.9
Paraguay,22.4,68.54,9.06
Peru,26.04,65.94,8.02
Philippines,30.49,64.06,5.45
Poland,14.53,64.87,20.6
Portugal,12.85,65.18,21.96
Qatar,13.08,85.51,1.41
Republic of the Congo,40.44,56.15,3.41
Romania,15.63,62.13,22.24
Russia,16.86,65.99,17.15
Rwanda,37.95,59.1,2.95
Saint Kitts and Nevis,19.4,68.54,12.05
Saint Lucia,18.23,66.97,14.8
Saint Vincent and the Grenadines,19.05,68.55,12.4
Samoa,27.33,65.72,6.94
San Marino,14.34,64.58,21.08
Sao Tome and Principe,37.21,59.64,3.15
Saudi Arabia,23.45,72.36,4.19
Senegal,41.19,55.46,3.34
Serbia,14.45,65.81,19.74
Seychelles,17.95,72.58,9.47
Sierra Leone,40.54,56.89,2.58
Singapore,14.82,71.49,13.7
Slovakia,14.87,66.49,18.64
Slovenia,14.55,62.73,22.72
Solomon Islands,31.06,63.82,5.12
Somalia,41.54,55.77,2.69
South Korea,11.53,70.1,18.38
South Sudan,41.93,55.48,2.59
Spain,13.37,66.13,20.5
Sri Lanka,21.95,66.22,11.83
Sudan,40.47,56.35,3.19
Suriname,22.77,69.96,7.27
Sweden,17.26,62.05,20.69
Switzerland,15.49,65.13,19.38
Syria,33.27,62.58,4.15
Tajikistan,29.98,65.84,4.18
Tanzania,41.5,55.15,3.35
Thailand,16.0,69.53,14.47
The Bahamas,21.37,68.8,9.83
The Gambia,38.86,57.57,3.57
Timor-Leste,39.05,56.61,4.34
Togo,38.98,56.76,4.26
Tonga,29.92,62.79,7.29
Trinidad and Tobago,19.04,67.4,13.56
Tunisia,24.77,65.26,9.98
Turkey,22.12,68.58,9.31
Turkmenistan,24.63,68.82,6.55
Tuvalu,29.27,63.3,7.43
Uganda,47.3,50.31,2.39
Ukraine,15.9,65.95,18.15
United Arab Emirates,16.23,81.77,2.0
United Kingdom,16.91,64.03,19.06
United States,18.15,63.72,18.12
Uruguay,19.02,65.55,15.43
Uzbekistan,22.48,70.64,6.88
Vanuatu,31.73,63.41,4.86
Venezuela,25.13,65.98,8.9
Vietnam,23.44,68.69,7.87
Yemen,35.14,61.52,3.34
Zambia,42.49,54.77,2.74
Zimbabwe,38.16,57.32,4.52
